T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
23.2,28.6,18.4,1008.5,65.0,1.4,6.5,13.0,133.95833333333334
20.0,27.6,14.5,1009.8,42.0,1.9,6.7,11.1,69.25
19.2,27.6,11.1,1013.0,49.0,2.6,5.7,11.1,79.29166666666667
17.3,19.0,15.2,1011.0,94.0,1.8,14.8,24.1,31.625
17.4,22.1,14.6,1012.6,92.0,1.9,6.7,16.5,20.416666666666668
16.1,22.1,12.8,1013.8,84.0,1.8,5.6,13.0,61.125
18.6,27.3,12.5,1014.0,79.0,2.6,3.9,13.0,49.58333333333334
19.4,27.6,14.0,1015.2,79.0,2.3,7.8,18.3,34.916666666666664
18.1,24.1,13.3,1021.1,60.0,2.7,12.2,20.6,47.5
21.3,28.3,14.2,1014.7,70.0,1.6,4.1,9.4,128.83333333333334
21.6,27.3,15.8,1015.3,71.0,2.6,7.8,20.6,56.33333333333334
17.7,27.3,16.0,1015.3,92.0,1.9,11.5,18.3,20.291666666666668
21.1,28.3,14.0,1014.8,69.0,2.4,5.4,13.0,59.16666666666666
22.5,30.2,14.5,1014.8,68.0,2.6,9.1,22.2,83.83333333333333
24.9,31.7,15.8,1014.8,65.0,2.6,5.9,13.0,89.375
26.8,35.1,18.5,1011.7,68.0,2.3,2.6,11.1,101.375
28.6,36.5,20.3,1012.4,59.0,1.8,9.3,55.4,109.75
27.7,35.6,20.4,1011.7,54.0,2.7,7.4,24.1,42.91666666666666
25.1,30.8,19.0,1010.4,70.0,2.1,3.7,11.1,47.25
26.4,32.5,20.3,1007.4,64.0,1.9,2.4,9.4,81.20833333333333
28.7,34.7,21.0,1004.7,53.0,1.9,9.4,18.3,52.29166666666666
24.4,34.7,19.0,1004.6,76.0,3.1,7.0,14.8,28.45833333333333
23.9,31.4,19.2,1010.2,69.0,1.9,9.8,13.0,49.5
25.2,32.2,18.2,1012.0,56.0,2.6,6.7,16.5,75.16666666666667
25.8,32.5,18.6,1010.3,58.0,2.7,9.1,24.1,53.125
24.9,32.2,19.0,1013.7,74.0,2.3,7.0,13.0,54.70833333333334
26.4,32.5,20.0,1012.8,68.0,2.6,3.0,11.1,52.625
27.6,34.3,20.8,1013.0,65.0,3.1,5.9,14.8,51.375
32.0,40.6,21.6,1003.9,45.0,2.7,4.3,9.4,94.33333333333331
32.8,40.6,26.0,1005.8,45.0,1.9,7.2,11.1,92.91666666666669
31.8,39.6,25.4,1005.6,35.0,1.9,11.1,27.8,80.20833333333333
30.4,39.1,22.2,1005.9,51.0,1.9,13.0,22.2,71.66666666666667
28.8,37.1,22.8,1008.0,59.0,1.9,15.7,25.9,31.83333333333333
30.2,37.1,23.5,1006.7,59.0,1.9,17.6,33.5,47.66666666666666
31.2,39.4,24.2,1005.8,52.0,2.7,5.4,14.8,48.125
30.2,37.6,23.6,1006.3,47.0,2.6,4.4,11.1,56.25
30.9,38.9,21.7,1006.7,44.0,2.7,3.0,11.1,103.41666666666669
35.7,42.7,27.6,1003.4,21.0,1.9,14.4,27.8,76.875
34.1,42.7,27.0,1003.2,29.0,1.9,12.2,27.8,86.375
35.1,42.7,25.7,1001.6,35.0,2.3,8.3,18.3,77.70833333333333
28.3,38.7,23.8,1006.5,65.0,2.4,7.8,14.8,48.5
29.9,35.9,22.0,1007.4,56.0,2.6,4.4,11.1,55.08333333333334
28.7,35.8,24.2,1006.5,58.0,1.9,7.0,18.3,67.45833333333333
31.4,41.5,24.9,1002.2,50.0,1.8,14.8,50.0,18.875
33.2,41.5,22.4,1002.0,38.0,2.4,14.6,22.2,61.5
35.8,42.6,27.0,1000.4,30.0,2.6,11.3,24.1,68.91666666666667
37.8,45.5,28.0,996.7,29.0,2.6,10.9,22.2,77.375
35.3,45.5,24.4,999.2,33.0,2.3,17.0,55.4,63.91666666666666
33.8,45.0,24.8,1001.3,26.0,2.6,6.7,18.3,63.66666666666666
35.3,40.6,28.9,1000.7,30.0,1.9,15.2,27.8,63.625
30.1,40.6,23.5,1002.2,47.0,1.9,14.3,29.4,25.45833333333333
